,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
98737,32.9312945560355,2.313048357597798,0.9944810344205431,127.19037994376063,732.1142287131993
364617,38.26566354766427,24.57353748010565,0.9672849034094735,141.77370041332864,760.1482284429295
252625,38.12719316915214,27.399717151431574,0.9847204025665406,97.47257715760924,777.3808328724205
342465,32.36078265064545,13.426425758028445,0.9693271653204408,318.7292507249731,774.4508488508608
167640,34.3251204797706,27.71334606180277,0.9983678817036333,143.04869989291723,817.6974187755483
51974,43.27281028644062,28.523936361997865,0.9831641518101369,77.03611503443975,734.2489605059194
252111,41.46928276838896,12.57186962024562,0.9769471230598362,200.0981293198934,667.0571925057419
245685,32.311106738530604,10.717737390922586,0.9698198048681104,110.37746833860733,765.3043376807924
154217,32.714821286436404,9.36089164122802,0.9652908542409712,111.56686589278439,755.8211974352745
198777,33.95927118650101,19.398508459106754,0.9692466012695428,146.8214489834311,780.5868889254497
214936,44.098090191181214,39.203961304225786,0.9844761654538416,160.77870666641468,804.56144795345
225551,41.807596397661726,15.881602801459822,0.9716383552585127,113.62068028256269,678.5949849922141
208591,36.405452865994434,23.947782897914717,0.9912582228779985,40.78647043324438,776.1259047153021
298518,33.730070054577965,11.204319170401845,0.9801317931605559,85.84478730232772,750.1343853533768
132416,37.67501830652325,14.768411257103795,0.9964474399809571,278.24139097528484,718.823099485771
217050,33.479976732081575,29.727254318172935,0.9857824206555174,135.09279046555304,837.2615763829073
199461,39.526217134381604,8.116727244967826,0.99462883474849,142.32956827448248,670.9584304698268
64897,39.49716905140302,6.445136056411672,0.985399288900702,141.5792463139738,665.4295977470061
158102,31.80361974483968,35.91907794356581,0.9796519943453936,188.99748508862797,889.776611207643
159728,38.679399350339146,0.0922897414453487,0.977968757095166,79.09750297048446,656.103134275854
337465,31.286682975922485,35.721466682982204,0.9859598274951362,163.8844286515532,893.5235425556025
112150,33.014187987785064,352.48944425127917,0.9589355121103726,108.49095030443385,711.2291396421049
35596,35.52993078991913,331.0124284204293,0.9607970624992249,160.5909404262703,678.755665517736
235754,38.21897692357725,339.30980297409394,0.9222707215854763,127.51976921920391,638.9665130012638
365205,42.940337507150865,358.1038893602785,0.9494799956262483,198.67433817268812,601.9450299195686
318958,40.22720224444855,317.83288732763066,0.9346056546236441,10.571115571008832,665.4106035236695
279990,42.93292184655833,315.6203275973636,0.9506548300956187,34.795420005365095,650.4971756026591
290898,40.303599968349374,354.34610754876735,0.9310115612951841,116.43314124998628,624.4354887614273
144423,39.325766691214,346.86582480710166,0.933814363387856,350.6789916989588,626.8375210240868
130316,38.75775211014878,353.0737070632938,0.9101010004806634,78.01719611655467,640.5671086524839
23039,34.867633077114036,337.2563686282061,0.9201667451984674,84.43778484828002,680.6527923326223
134166,41.78701759508317,321.9593326130856,0.9087786247981445,131.8264136046241,633.6819863452814
298377,39.10882017394567,346.0679712600118,0.9282929625447484,104.24997066251763,628.9372096009439
25301,38.29064237631219,353.41181432934906,0.9574168203619434,108.61260727958663,646.7135303576856
147596,39.134538509406624,319.47191868320914,0.9213558802500541,222.453498651699,669.615367709499
72187,31.17116040790483,355.92870738247865,0.9240227189547413,168.7777876042467,740.4720078670518
211121,37.774285874958736,355.1013884269826,0.9192691394637527,747.1650778628681,655.8569758172781
106779,32.494939510662036,338.276331273613,0.9409668187725504,105.45362671466995,710.0454939437278
63385,31.124500025270404,323.7340929122576,0.8955826852499418,294.5922678526243,746.166584623066
121857,38.565164649947995,348.1049216947146,0.9244509862108996,107.13848226530668,636.9113221963248
331665,38.58378330297124,320.5069552592053,0.9238339030708241,173.15981497394392,671.3050899240436
37327,36.15739004400021,342.20358971623085,0.9542696997189516,127.16274664541126,663.6311754265821
